,Service,Time,Trial
0,AWS,41.94140434265137,1
1,GCP,42.02754616737366,1
2,Azure,40.744670391082764,1
3,Heroku,51.24154496192932,1
4,Snowflake,18.20331621170044,1
5,Databricks,69.56160354614258,1
6,AWS,42.00658917427063,2
7,GCP,43.39684295654297,2
8,Azure,40.479846239089966,2
9,Heroku,42.78152298927307,2
10,Snowflake,17.485631465911865,2
11,Databricks,65.0158462524414,2
12,AWS,39.46830153465271,3
13,GCP,40.2710645198822,3
14,Azure,42.248770236968994,3
15,Heroku,61.42764973640442,3
16,Snowflake,17.03015637397766,3
17,Databricks,65.62319755554199,3
18,AWS,42.04454588890076,4
19,GCP,41.83020210266113,4
20,Azure,39.744637966156006,4
21,Heroku,48.13508367538452,4
22,Snowflake,16.92643976211548,4
23,Databricks,62.91937255859375,4
24,AWS,39.57308101654053,5
25,GCP,39.05012583732605,5
26,Azure,40.5225932598114,5
27,Heroku,68.97931671142578,5
28,Snowflake,17.756274461746216,5
29,Databricks,64.56439161300659,5
